#GO         O    E     O/E   P(n=1.0e+02)  Category   Description
GO:0045666  6    0.17  35.3  -1            Process    positive regulation of neuron differentiation
GO:0045893  33   0.96  34.4  -1            Process    positive regulation of transcription, DNA-templated
GO:0030182  6    0.18  33.3  -1            Process    neuron differentiation
GO:0044212  10   0.31  32.3  -1            Function   transcription regulatory region DNA binding
GO:0006357  58   1.81  32    -1            Process    regulation of transcription by RNA polymerase II
GO:0007517  7    0.22  31.8  -1            Process    muscle organ development
GO:0001822  5    0.16  31.2  -1            Process    kidney development
GO:0007605  7    0.23  30.4  -1            Process    sensory perception of sound
GO:0003700  39   1.3   30    -1            Function   DNA binding transcription factor activity
GO:0003714  7    0.24  29.2  -1            Function   transcription corepressor activity
GO:0007420  11   0.38  28.9  -1            Process    brain development
GO:0007399  15   0.53  28.3  -1            Process    nervous system development
GO:0007275  23   0.88  26.1  -1            Process    multicellular organism development
GO:0016477  6    0.23  26.1  -1            Process    cell migration
GO:0008134  15   0.58  25.9  -1            Function   transcription factor binding
GO:0006351  68   2.63  25.9  -1            Process    transcription, DNA-templated
GO:0010628  14   0.55  25.5  -1            Process    positive regulation of gene expression
GO:0046983  5    0.2   25    -1            Function   protein dimerization activity
GO:0030154  24   0.98  24.5  -1            Process    cell differentiation
GO:0035195  9    0.37  24.3  -1            Process    gene silencing by miRNA
GO:0003682  22   0.95  23.2  -1            Function   chromatin binding
GO:0001934  5    0.22  22.7  -1            Process    positive regulation of protein phosphorylation
GO:0006338  5    0.22  22.7  -1            Process    chromatin remodeling
GO:1903231  8    0.36  22.2  -1            Function   mRNA binding involved in posttranscriptional gene silencing
GO:0045892  19   0.93  20.4  -1            Process    negative regulation of transcription, DNA-templated
GO:0003713  10   0.49  20.4  -1            Function   transcription coactivator activity
GO:0016525  5    0.26  19.2  -1            Process    negative regulation of angiogenesis
GO:0008284  18   0.94  19.1  -1            Process    positive regulation of cell proliferation
GO:0001525  7    0.37  18.9  -1            Process    angiogenesis
GO:0007601  6    0.32  18.8  -1            Process    visual perception
GO:0043066  16   0.87  18.4  -1            Process    negative regulation of apoptotic process
GO:0010468  5    0.29  17.2  -1            Process    regulation of gene expression
GO:0003677  37   2.15  17.2  -1            Function   DNA binding
GO:0000790  7    0.43  16.3  -1            Component  nuclear chromatin
GO:0008083  5    0.31  16.1  -1            Function   growth factor activity
GO:0042127  6    0.38  15.8  -1            Process    regulation of cell proliferation
GO:0016604  6    0.39  15.4  -1            Component  nuclear body
GO:0008283  9    0.59  15.3  -1            Process    cell proliferation
GO:0006367  5    0.34  14.7  -1            Process    transcription initiation from RNA polymerase II promoter
GO:0008285  10   0.69  14.5  -1            Process    negative regulation of cell proliferation
GO:0006355  19   1.34  14.2  -1            Process    regulation of transcription, DNA-templated
GO:0005634  126  9.05  13.9  -1            Component  nucleus
GO:0046982  9    0.7   12.9  -1            Function   protein heterodimerization activity
GO:0019899  7    0.55  12.7  -1            Function   enzyme binding
GO:0042493  5    0.4   12.5  -1            Process    response to drug
GO:0042803  15   1.28  11.7  -1            Function   protein homodimerization activity
GO:0010629  5    0.45  11.1  -1            Process    negative regulation of gene expression
GO:0005654  56   5.38  10.4  -1            Component  nucleoplasm
GO:0032991  8    0.86  9.3   -1            Component  protein-containing complex
GO:0055114  9    0.98  9.18  -1            Process    oxidation-reduction process
GO:0010469  8    0.88  9.09  -1            Process    regulation of signaling receptor activity
GO:0030054  8    0.89  8.99  -1            Component  cell junction
GO:0007267  5    0.59  8.47  -1            Process    cell-cell signaling
GO:0046872  29   3.58  8.1   -1            Function   metal ion binding
GO:0008270  10   1.28  7.81  -1            Function   zinc ion binding
GO:0043065  5    0.69  7.25  -1            Process    positive regulation of apoptotic process
GO:0005622  7    1.03  6.8   -1            Component  intracellular
GO:0019901  5    0.78  6.41  -1            Function   protein kinase binding
GO:0005515  108  17    6.36  -1            Function   protein binding
GO:0005730  8    1.31  6.11  -1            Component  nucleolus
GO:0005575  5    0.83  6.02  -1            Component  cellular_component
GO:0005615  17   2.95  5.76  -1            Component  extracellular space
GO:0006915  5    0.96  5.21  -1            Process    apoptotic process
GO:0008150  5    0.97  5.15  -1            Process    biological_process
GO:0003674  6    1.24  4.84  -1            Function   molecular_function
GO:0005737  33   7.27  4.54  -1            Component  cytoplasm
GO:0005887  12   2.93  4.1   -1            Component  integral component of plasma membrane
GO:0005829  32   8.45  3.79  -1            Component  cytosol
GO:0005794  6    1.66  3.61  -1            Component  Golgi apparatus
GO:0005524  9    2.7   3.33  -1            Function   ATP binding
GO:0005886  26   8.47  3.07  -1            Component  plasma membrane
GO:0005509  6    1.26  4.76  0.01          Function   calcium ion binding
GO:0005576  14   3.39  4.13  0.01          Component  extracellular region
GO:0007165  9    2.38  3.78  0.01          Process    signal transduction
GO:0007186  8    2.18  3.67  0.01          Process    G-protein coupled receptor signaling pathway
GO:0042802  6    1.66  3.61  0.01          Function   identical protein binding
GO:0070062  10   3.69  2.71  0.01          Component  extracellular exosome
GO:0016020  9    3.87  2.33  0.01          Component  membrane
GO:0016021  14   6.73  2.08  0.02          Component  integral component of membrane
GO:0004930  5    1.42  3.52  0.03          Function   G-protein coupled receptor activity
GO:0005739  6    2.28  2.63  0.03          Component  mitochondrion
GO:0003723  5    2.02  2.48  0.06          Function   RNA binding
