#Chr   Start      End        Acc...
chr16  663784     689783     RHOT2,RHBDL1,STUB1,LOC105371184,JMJD8
chr16  1151784    1177783    CACNA1H
chr16  1199784    1225783    TPSG1
chr16  1757784    1783783    EME2,NME3,MRPS34,NUBP2,SPSB3
chr16  1973784    1993783    NOXO1,GFER,SYNGR3
chr16  2751784    2771783    SRRM2,SRRM2-AS1
chr16  4679784    4699783    NUDT16L1
chr16  54919784   54941783   CRNDE,IRX5
chr16  86485784   86523783   FOXF1,FENDRR
chr17  7831439    7863438    KDM6B,TMEM88,CYB5D1,NAA38
chr17  36923439   36953438   LHX1,LHX1-DT,AATF
chr17  48579439   48607438   HOXB4,MIR10A,HOXB3,HOXB-AS3,HOXB5,HOXB6
chr17  48609439   48633438   HOXB7,HOXB8,HOXB9,MIR196A1
chr17  61383439   61417438   TBX2,TBX2-AS1,C17orf82
chr17  61449439   61471438   TBX4
chr17  79775439   79821438   CBX2,CBX8
chr17  79925439   79945438   LINC01979
chr17  81383439   81411438   LOC100130370,BAHCC1,MIR4740
chr17  82011439   82037438   LRRC45,CENPX,RAC3
chr17  82079439   82101438   SNORD134,FASN
chr17  82227439   82251438   SLC16A3,MIR6787
chr17  83069439   83095438   METRNL
chr18  47243998   47265997   SKOR2
chr18  50267998   50287997   CFAP53,MBD1
chr18  57423998   57449997   ONECUT2
chr18  75197998   75219997   ZADH2,TSHZ1
chr18  78965998   78999997   SALL3
chr19  1218713    1240712    CBARP,ATP5F1D
chr20  21499097   21531096   NKX2-2
chr20  21697097   21719096   LINC01726,PAX1
chr20  22567097   22587096   LINC00261,FOXA2
chr20  23033097   23053096   SSTR4,THBD
chr20  58839097   58859096   GNAS,GNAS-AS1
chr20  62549097   62569096   MIR1-1HG,MIR1-1HG-AS1,MIR1-1,MIR133A2
chr21  36688930   36714929   SIM2
chr22  19744947   19770946   TBX1
chr22  27784947   27810946   MN1
chr22  45958947   45978946   WNT7B
chr22  46058947   46092946   LOC642648,MIRLET7BHG,MIR3619
chr22  49948947   49972946   PIM3,MIR6821
chrX   24998479   25024478   ARX
chrX   40076479   40112478   BCOR
chrX   153766479  153788478  SRPK3
chrX   153948479  153974478  HCFC1-AS1,TMEM187,HCFC1
