#Chr	Start	End	Sym...
chr11	1442950	1466949	BRSK2
chr11	2128950	2152949	INS-IGF2,IGF2-AS,MIR483,IGF2
chr11	6606950	6634949	DCHS1,TPP1,TAF10,ILK
chr11	31790950	31830949	PAUPAR,PAX6-AS1,PAX6
chr11	43568950	43588949	MIR129-2,MIR670HG
chr11	69632950	69658949	CCND1
chr12	53942328	54012327	HOXC8,HOXC9,HOXC-AS1,HOXC-AS2,MIR196A2,HOXC10,HOXC-AS3,HOXC11,HOTAIR,HOXC12,HOXC13
chr12	54014328	54038327	MIR615,HOXC5,HOXC6,HOXC4
chr12	113462328	113482327	LHX5-AS1,LHX5
chr12	114392328	114418327	TBX5-AS1,TBX5
chr12	114664328	114684327	TBX3
chr13	78591019	78611018	POU4F1,RNF219-AS1
chr13	99963019	99993018	ZIC2,ZIC5
chr13	112045019	112079018	SOX1,SOX1-OT
chr14	36502691	36526690	NKX2-1-AS1,NKX2-1,SFTA3
chr14	36644691	36666690	PAX9
chr14	37580691	37606690	TTC6,FOXA1
chr14	56792691	56814690	OTX2-AS1,OTX2
chr14	60636691	60658690	SIX1,SALRNA1
chr14	100714691	100738690	DLK1
chr14	104166691	104186690	KIF26A
chr14	104786691	104806690	ZBTB42,AKT1
chr14	105136691	105158690	MIR6765,JAG2
chr14	105470691	105498690	TEDC1,CRIP1,CRIP2,MTA1
chr15	52778973	52808972	ONECUT1
chr15	59990973	60012972	FOXB1
chr15	67816973	67840972	RNU6-8,RNU6-1,RNU6-7,RNU6-9,RNU6-2,LOC101929076,SKOR1
chr15	89356973	89384972	MIR9-3HG,MIR9-3
chr15	96338973	96370972	NR2F2
chr16	663784	689783	WDR24,JMJD8,STUB1,LOC105371184,RHBDL1,RHOT2,WDR90
chr16	1151784	1177783	CACNA1H
chr16	1199784	1225783	TPSG1,CACNA1H
chr16	1757784	1783783	NUBP2,SPSB3,EME2,MRPS34,NME3,MAPK8IP3
chr16	1973784	1993783	SYNGR3,GFER,NOXO1,TBL3
chr16	2751784	2771783	ELOB,SRRM2,SRRM2-AS1
chr16	4679784	4699783	ANKS3,NUDT16L1,MGRN1
chr16	54919784	54941783	IRX5,CRNDE
chr16	86485784	86523783	FOXF1,FENDRR
chr17	7831439	7863438	CYB5D1,NAA38,TMEM88,KDM6B,DNAH2
chr17	36923439	36953438	AATF,LHX1,LHX1-DT
chr17	48579439	48607438	HOXB7,HOXB-AS3,HOXB6,HOXB5,MIR10A,HOXB3
chr17	48609439	48633438	MIR196A1,HOXB9,HOXB8,HOXB7
chr17	61383439	61417438	C17orf82,TBX2,TBX2-AS1,BCAS3
chr17	61449439	61471438	TBX4
chr17	79775439	79821438	CBX8,CBX2
chr17	79925439	79945438	TBC1D16,LINC01979
chr17	81079439	81111438	BAIAP2
chr17	81383439	81411438	MIR4740,BAHCC1,LOC100130370
chr17	82011439	82037438	DCXR,RAC3,LRRC45,CENPX,ASPSCR1
chr17	82079439	82101438	SNORD134,FASN
chr17	82227439	82251438	CSNK1D,MIR6787,SLC16A3
chr17	83069439	83095438	METRNL
chr18	47243998	47265997	SKOR2
chr18	50267998	50287997	CXXC1,MBD1
chr18	57423998	57449997	ONECUT2
chr18	75197998	75219997	TSHZ1,ZADH2
chr18	78965998	78999997	SALL3
chr18	79431998	79463997	NFATC1
chr19	1218713	1240712	CBARP,STK11
chr20	21499097	21531096	NKX2-2
chr20	21697097	21719096	PAX1,LINC01726
chr20	22567097	22587096	FOXA2,LINC00261
chr20	23033097	23053096	THBD,SSTR4
chr20	58839097	58859096	GNAS,GNAS-AS1
chr20	61869097	61889096	CDH4
chr20	62549097	62569096	MIR133A2,MIR1-1,MIR1-1HG,MIR1-1HG-AS1
chr21	36688930	36714929	SIM2
chr22	19744947	19770946	TBX1
chr22	19966947	19992946	ARVCF,COMT
chr22	27784947	27810946	MN1
chr22	45958947	45978946	WNT7B
chr22	46058947	46092946	MIR3619,MIRLET7BHG,LOC642648
chr22	49948947	49972946	MIR6821,PIM3
chrX	24998479	25024478	ARX
chrX	40076479	40112478	BCOR
chrX	153766479	153788478	IDH3G,SRPK3,PLXNB3
chrX	153948479	153974478	TMEM187,HCFC1-AS1,HCFC1
